cyrillic,menksoft,unicode,latin
ангууч,,ᠠᠩᠭᠤᠴᠢ,aNgvci
андбаатар,,ᠠᠨᠳᠠᠪᠠᠭᠠᠲᠤᠷ,andabagatvr
андбаяр,,ᠠᠨᠳᠠᠪᠠᠶᠠᠷ,andabayar
андгай,,ᠠᠨᠳᠠᠭᠠᠢ,andagai
андсайхан,,ᠠᠨᠳᠠᠰᠠᠢᠬᠠᠨ,andasaihan
анир,,ᠠᠨᠢᠷ,anir
аниржин,,ᠠᠨᠢᠷᠵᠢᠨ,anirjin
анирлин,,ᠠᠨᠢᠷᠯᠢᠨ,anirlin
анирсайхан,,ᠠᠨᠢᠷᠰᠠᠢᠬᠠᠨ,anirsaihan
анис,,ᠠᠨᠢᠰᠤ,anisv
ану,,ᠠᠨᠤ,anv
анударь,,ᠠᠨᠤᠳᠠᠷᠢ,anvdari
анужин,,ᠠᠨᠤᠵᠢᠨ,anvjin
анужингоо,,ᠠᠨᠤᠵᠢᠨᠭᠣᠤ᠎ᠠ,anvjingqv-a
анука,,ᠠᠨᠤᠺᠠ,anvka
анун,,ᠠᠨᠤᠨ,anvn
анунгоо,,ᠠᠨᠤᠨᠭᠣᠤ᠎ᠠ,anvngqv-a
анунгуа,,ᠠᠨᠤᠨᠭᠣᠣᠤ᠎ᠠ,anvngqqv-a
ануу,,ᠠᠨᠤ,anv
ануухай,,ᠠᠨᠤᠬᠠᠢ,anvhai
анухатан,,ᠠᠨᠤᠬᠠᠲᠤᠨ,anvhatvn
ану‐үжин, ,ᠠᠨᠤ ᠦᠵᠢᠨ,anv ujin
анхбаяр,,ᠠᠩᠬᠠᠪᠠᠶᠠᠷ,aNhabayar
анхбилэг,,ᠠᠩᠬᠠᠪᠢᠯᠢᠭ᠌,aNhabilig2
анхболд,,ᠠᠩᠬᠠᠪᠣᠯᠣᠳ,aNhabqlqd
анхболор,,ᠠᠩᠬᠠᠪᠣᠯᠣᠷ,aNhabqlqr
анхжаргал,,ᠠᠩᠬᠠᠵᠢᠷᠭᠠᠯ,aNhajirgal
анхзаяа,,ᠠᠩᠬᠠᠵᠠᠶᠠᠭ᠎ᠠ,aNhajayag-a
анхзул,,ᠠᠩᠬᠠᠵᠤᠯᠠ,aNhajvla
анхил,,ᠠᠩᠬᠢᠯ,aNhil
анхилам,,ᠠᠩᠬᠢᠯᠤᠮ᠎ᠠ,aNhilvm-a
анхилмаа,,ᠠᠩᠬᠢᠯᠮ᠎ᠠ,aNhilm-a
анхилсарнай,,ᠠᠩᠬᠢᠯᠰᠠᠷᠠᠨᠠᠢ,aNhilsaranai
анхилуун,,ᠠᠩᠬᠢᠯᠤᠭᠤᠨ,aNhilvgvn
анхмаа,,ᠠᠩᠬᠠᠮ᠎ᠠ,aNham-a
анхныбаяр,,ᠠᠩᠬᠠᠨᠤᠪᠠᠶᠠᠷ,aNhanvbayar
анхням,,ᠠᠩᠬᠠᠨᠢᠮ᠎ᠠ,aNhanim-a
анхтуяа,,ᠠᠩᠬᠠᠲᠤᠶᠠᠭ᠎ᠠ,aNhatvyag-a
анхцэцэг,,ᠠᠩᠬᠠᠴᠡᠴᠡᠭ,aNhaceceg
анхчимэг,,ᠠᠩᠬᠠᠴᠢᠮᠡᠭ,aNhacimeg
анхчулуун,,ᠠᠩᠬᠠᠴᠢᠯᠠᠭᠤᠨ,aNhacilagvn
анх‐ирээдүй, ,ᠠᠩᠬᠠ ᠢᠷᠡᠭᠡᠳᠦᠢ,aNha iregedui
анх‐учрал, ,ᠠᠩᠬ᠎ᠠ ᠤᠴᠠᠷᠠᠯ,aNh-a vcaral
анх‐эрдэнэ, ,ᠠᠩᠬ᠎ᠠ ᠡᠷᠳᠡᠨᠢ,aNh-a erdeni
аравжаа,,ᠠᠷᠠᠪᠵᠠᠢ,arabjai
аравжир,,ᠠᠷᠠᠪᠵᠤᠷ,arabjvr
аралдий,,ᠠᠷᠠᠯᠳᠢ,araldi
аранжин,,ᠠᠷᠠᠨᠵᠢᠨ,aranjin
аранжмаа,,ᠠᠷᠠᠨᠵᠢᠮ᠎ᠠ,aranjim-a
арвай,,ᠠᠷᠪᠠᠢ,arbai
арвайхээр,,ᠠᠷᠪᠠᠢᠬᠡᠭᠡᠷ᠎ᠡ,arbaiheger-e
арвайхүү,,ᠠᠷᠪᠠᠢᠬᠦᠦ,arbaihuu
арван,,ᠠᠷᠪᠠᠨ,arban
арванайсүрэн,,ᠠᠷᠠᠪᠠᠨᠠᠢᠰᠦ᠋ᠷᠦᠩ,arabanaisu1ruN
арвижих,,ᠠᠷᠪᠢᠵᠢᠬᠤ,arbijihv
арвин,,ᠠᠷᠪᠢᠨ,arbin
арвинбаатар,,ᠠᠷᠪᠢᠨᠪᠠᠭᠠᠲᠤᠷ,arbinbagatvr
арвинбат,,ᠠᠷᠪᠢᠨᠪᠠᠲᠤ,arbinbatv
арвинбаяр,,ᠠᠷᠪᠢᠨᠪᠠᠶᠠᠷ,arbinbayar
арвинбилиг,,ᠠᠷᠪᠢᠨᠪᠢᠯᠢᠭ᠌,arbinbilig2
арвинбилэг,,ᠠᠷᠪᠢᠨᠪᠢᠯᠢᠭ᠌,arbinbilig2
арвинболд,,ᠠᠷᠪᠢᠨᠪᠣᠯᠣᠳ,arbinbqlqd
арвинболор,,ᠠᠷᠪᠢᠨᠪᠣᠯᠣᠷ,arbinbqlqr
арвинбулаг,,ᠠᠷᠪᠢᠨᠪᠤᠯᠠᠭ,arbinbvlag
арвинбуян,,ᠠᠷᠪᠢᠨᠪᠤᠶᠠᠨ,arbinbvyan
арвингэрэл,,ᠠᠷᠪᠢᠨᠭᠡᠷᠡᠯ,arbingerel
арвингэрэлт,,ᠠᠷᠪᠢᠨᠭᠡᠷᠡᠯᠲᠦ,arbingereltu
арвиндэлгэр,,ᠠᠷᠪᠢᠨᠳᠡᠯᠭᠡᠷ,arbindelger
арвинжаргал,,ᠠᠷᠪᠢᠨᠵᠢᠷᠭᠠᠯ,arbinjirgal
арвинжин,,ᠠᠷᠪᠢᠨᠵᠢᠨ,arbinjin
арвинзаяа,,ᠠᠷᠪᠢᠨᠵᠠᠶᠠᠭ᠎ᠠ,arbinjayag-a
арвинсайхан,,ᠠᠷᠪᠢᠨᠰᠠᠢᠬᠠᠨ,arbinsaihan
арвинсан,,ᠠᠷᠪᠢᠨᠰᠠᠩ,arbinsaN
арвинтунгалаг,,ᠠᠷᠪᠢᠨᠲᠤᠩᠭᠠᠯᠠᠭ,arbintvNgalag
арвинтуяа,,ᠠᠷᠪᠢᠨᠲᠤᠶᠠᠭ᠎ᠠ,arbintvyag-a
арвинхишиг,,ᠠᠷᠪᠢᠨᠬᠡᠰᠢᠭ,arbinhesig
арвинхүслэн,,ᠠᠷᠪᠢᠨᠬᠦᠰᠡᠯᠡᠩ,arbinhuseleN
арвинхүү,,ᠠᠷᠪᠢᠨᠬᠦᠦ,arbinhuu
арвинцогт,,ᠠᠷᠪᠢᠨᠴᠣᠭᠲᠤ,arbincqgtv
арвиншанд,,ᠠᠷᠪᠢᠨᠱᠠᠩᠳᠠ,arbinxaNda
арвин‐эрдэнэ, ,ᠠᠷᠪᠢᠨ ᠡᠷᠳᠡᠨᠢ,arbin erdeni
арвис,,ᠠᠷᠪᠢᠰ,arbis
аргай,,ᠠᠷᠭᠠᠢ,argai
аргалант,,ᠠᠷᠭᠠᠯᠢᠩᠲᠤ,argaliNtv
аргалжав,,ᠠᠷᠭᠠᠯᠢᠵᠠᠪ,argalijab
аргальжав,,ᠠᠷᠭᠠᠯᠢᠵᠠᠪ,argalijab
аргасун,,ᠠᠷᠭᠠᠰᠤᠨ,argasvn
аргатбаатар,,ᠠᠷᠭᠠᠲᠤᠪᠠᠭᠠᠲᠤᠷ,argatvbagatvr
аргил,,ᠠᠷᠭᠢᠯ,argil
аргилмаа,,ᠠᠷᠭᠢᠯᠮ᠎ᠠ,argilm-a
аргиун,,ᠠᠷᠢᠭᠤᠨ,arigvn
аргун,,ᠠᠷᠭᠤᠨ,argvn
аргуужин,,ᠠᠷᠭᠤᠵᠢᠨ,argvjin
ардбаатар,,ᠠᠷᠠᠳᠪᠠᠭᠠᠲᠤᠷ,aradbagatvr
арднай,,ᠠᠷᠠᠳᠨᠠᠢ,aradnai
арднасэд,,ᠠᠷᠠᠳᠨᠠᠰᠡᠳᠢ,aradnasedi
ардсайхан,,ᠠᠷᠠᠳᠰᠠᠢᠬᠠᠨ,aradsaihan
ардынжаргал,,ᠠᠷᠠᠳᠤᠨᠵᠢᠷᠭᠠᠯ,aradvnjirgal
аривдахбаатар,,ᠠᠷᠪᠢᠳᠬᠤᠪᠠᠭᠠᠲᠤᠷ,arbidhvbagatvr
аривжих,,ᠠᠷᠪᠢᠵᠢᠬᠤ,arbijihv
ариг,,ᠠᠷᠢᠭ,arig
аригбал,,ᠠᠷᠢᠭᠪᠠᠯ,arigbal
аригбөх,,ᠠᠷᠢᠭ᠍ᠪᠥᠬᠡ,arig3bohe
аригмаа,,ᠠᠷᠢᠭᠮ᠎ᠠ,arigm-a
аригуй,,ᠠᠷᠢᠭᠤᠢ,arigvi
аригун,,ᠠᠷᠢᠭᠤᠨ,arigvn
аригуун,,ᠠᠷᠢᠭᠤᠨ,arigvn
ариг‐үжин, ,ᠠᠷᠢᠭ ᠦᠵᠢᠨ,arig ujin
арилд,,ᠠᠷᠠᠯᠳᠢ,araldi
арилди,,ᠠᠷᠠᠯᠳᠢ,araldi
арилдий,,ᠠᠷᠠᠯᠳᠢ,araldi
арилдийжав,,ᠠᠷᠠᠯᠳᠢᠵᠠᠪ,araldijab
арилдийсүрэн,,ᠠᠷᠠᠯᠳᠢᠰᠦ᠋ᠷᠦᠩ,araldisu1ruN
арилдмаа,,ᠠᠷᠠᠯᠳᠢᠮ᠎ᠠ,araldim-a
арилдсүрэн,,ᠠᠷᠠᠯᠳᠢᠰᠦ᠋ᠷᠦᠩ,araldisu1ruN
ариумаа,,ᠠᠷᠢᠭᠤᠮ᠎ᠠ,arigvm-a
ариун,,ᠠᠷᠢᠭᠤᠨ,arigvn
ариунаа,,ᠠᠷᠢᠭᠤᠨ᠎ᠠ,arigvn-a
ариунбаатар,,ᠠᠷᠢᠭᠤᠨᠪᠠᠭᠠᠲᠤᠷ,arigvnbagatvr
ариунбадрал,,ᠠᠷᠢᠭᠤᠨᠪᠠᠳᠠᠷᠠᠯ,arigvnbadaral
ариунбайгаль,,ᠠᠷᠢᠭᠤᠨᠪᠠᠢᠭᠠᠯᠢ,arigvnbaigali
ариунбал,,ᠠᠷᠢᠭᠤᠨᠪᠠᠯ,arigvnbal
ариунбат,,ᠠᠷᠢᠭᠤᠨᠪᠠᠲᠤ,arigvnbatv
ариунбаялаг,,ᠠᠷᠢᠭᠤᠨᠪᠠᠶᠠᠯᠢᠭ,arigvnbayalig
ариунбаяр,,ᠠᠷᠢᠭᠤᠨᠪᠠᠶᠠᠷ,arigvnbayar
ариунбаясгалан,,ᠠᠷᠢᠭᠤᠨᠪᠠᠶᠠᠰᠬᠤᠯᠠᠩ,arigvnbayashvlaN
ариунбилиг,,ᠠᠷᠢᠭᠤᠨᠪᠢᠯᠢᠭ᠌,arigvnbilig2
ариунбилигт,,ᠠᠷᠢᠭᠤᠨᠪᠢᠯᠢᠭ᠍ᠲᠦ,arigvnbilig3tu
ариунбилэг,,ᠠᠷᠢᠭᠦᠨᠪᠢᠯᠢᠭ,arigunbilig
ариунбилэгт,,ᠠᠷᠢᠭᠦᠨᠪᠢᠯᠢᠭᠲᠦ,arigunbiligtu
ариунболд,,ᠠᠷᠢᠭᠤᠨᠪᠣᠯᠣᠳ,arigvnbqlqd
ариунболор,,ᠠᠷᠢᠭᠤᠨᠪᠣᠯᠣᠷ,arigvnbqlqr
ариунбулаг,,ᠠᠷᠢᠭᠤᠨᠪᠤᠯᠠᠭ,arigvnbvlag
ариунбулган,,ᠠᠷᠢᠭᠤᠨᠪᠤᠯᠠᠭᠠᠨ,arigvnbvlagan
ариунбуудай,,ᠠᠷᠢᠭᠤᠨᠪᠤᠭᠤᠳᠠᠢ,arigvnbvgvdai
ариунбуян,,ᠠᠷᠢᠭᠤᠨᠪᠤᠶᠠᠨ,arigvnbvyan
ариунбэлэг,,ᠠᠷᠢᠭᠤᠨᠪᠡᠯᠡᠭ,arigvnbeleg
ариунбямба,,ᠠᠷᠢᠭᠤᠨᠪᠢᠮᠪᠠ,arigvnbimba
ариунбүрэн,,ᠠᠷᠢᠭᠤᠨᠪᠦᠷᠢᠨ,arigvnburin
ариунбүүвэй,,ᠠᠷᠢᠭᠤᠨᠪᠦᠪᠡᠢ,arigvnbubei
ариунгоо,,ᠠᠷᠢᠭᠤᠨᠭᠣᠤ᠎ᠠ,arigvngqv-a
ариунгуа,,ᠠᠷᠢᠭᠤᠨᠭᠣᠤ᠎ᠠ,arigvngqv-a
ариунгэрэл,,ᠠᠷᠢᠭᠤᠨᠭᠡᠷᠡᠯ,arigvngerel
ариунгэрэлт,,ᠠᠷᠢᠭᠤᠨᠭᠡᠷᠡᠯᠲᠦ,arigvngereltu
ариундаваа,,ᠠᠷᠢᠭᠤᠨᠳᠠᠸᠠ,arigvndawa
ариундагина,,ᠠᠷᠢᠭᠤᠨᠳᠠᠭᠢᠨᠢ,arigvndagini
ариундалай,,ᠠᠷᠢᠭᠤᠨᠳᠠᠯᠠᠢ,arigvndalai
ариундарь,,ᠠᠷᠢᠭᠤᠨᠳᠠᠷᠢ,arigvndari
ариундолгор,,ᠠᠷᠢᠭᠤᠨᠳᠣᠯᠭᠠᠷ,arigvndqlgar
ариундэлгэр,,ᠠᠷᠢᠭᠤᠨᠳᠡᠯᠭᠡᠷ,arigvndelger
ариундэмбэрэл,,ᠠᠷᠢᠭᠤᠨᠳᠡᠮᠪᠡᠷᠢᠯ,arigvndemberil
ариундөш,,ᠠᠷᠢᠭᠤᠨᠳᠥᠰᠢ,arigvndosi
ариунжаргал,,ᠠᠷᠢᠭᠤᠨᠵᠢᠷᠭᠠᠯ,arigvnjirgal
ариунжаргалан,,ᠠᠷᠢᠭᠤᠨᠵᠢᠷᠭᠠᠯᠠᠩ,arigvnjirgalaN
ариунжин,,ᠠᠷᠢᠭᠤᠨᠵᠢᠨ,arigvnjin
ариунжолоо,,ᠠᠷᠢᠭᠤᠨᠵᠢᠯᠤᠭᠤ,arigvnjilvgv
ариунзагар,,ᠠᠷᠢᠭᠤᠨᠵᠠᠭᠠᠷ᠎ᠠ,arigvnjagar-a
ариунзамбага,,ᠠᠷᠢᠭᠤᠨᠵᠠᠮᠪᠠᠭ᠎ᠠ,arigvnjambag-a
ариунзандан,,ᠠᠷᠢᠭᠤᠨᠽᠠᠨᠳᠠᠨ,arigvnzandan
ариунзаяа,,ᠠᠷᠢᠭᠤᠨᠵᠠᠶᠠᠭ᠎ᠠ,arigvnjayag-a
ариунзол,,ᠠᠷᠢᠭᠤᠨᠵᠣᠯ,arigvnjql
ариунзолбоо,,ᠠᠷᠢᠭᠤᠨᠵᠣᠯᠪᠣᠭ᠎ᠠ,arigvnjqlbqg-a
ариунзориг,,ᠠᠷᠢᠭᠤᠨᠵᠣᠷᠢᠭ,arigvnjqrig
ариунзул,,ᠠᠷᠢᠭᠤᠨᠵᠤᠯᠠ,arigvnjvla
ариунзүрх,,ᠠᠷᠢᠭᠤᠨᠵᠢᠷᠦᠬᠡ,arigvnjiruhe
ариунмаа,,ᠠᠷᠢᠭᠤᠨᠮ᠎ᠠ,arigvnm-a
ариунмандах,,ᠠᠷᠢᠭᠤᠨᠮᠠᠨᠳᠤᠬᠤ,arigvnmandvhv
ариунмөнх,,ᠠᠷᠢᠭᠤᠨᠮᠥᠩᠬᠡ,arigvnmoNhe
ариунмөр,,ᠠᠷᠢᠭᠨᠤᠮᠥᠷᠦ,arignvmoru
ариунмөрөн,,ᠠᠷᠢᠭᠤᠨᠮᠥᠷᠡᠨ,arigvnmoren
ариуннандин,,ᠠᠷᠢᠭᠤᠨᠨᠠᠨᠳᠢᠨ,arigvnnandin
ариуннаран,,ᠠᠷᠢᠭᠤᠨᠨᠠᠷᠠᠨ,arigvnnaran
ариуннасан,,ᠠᠷᠢᠭᠤᠨᠨᠠᠰᠤᠨ,arigvnnasvn
ариунням,,ᠠᠷᠢᠭᠤᠨᠨᠢᠮ᠎ᠠ,arigvnnim-a
ариунпүрэв,,ᠠᠷᠢᠭᠤᠨᠫᠦᠷᠪᠦ,arigvnpurbu
ариунсайхан,,ᠠᠷᠢᠭᠤᠨᠰᠠᠢᠬᠠᠨ,arigvnsaihan
ариунсан,,ᠠᠷᠢᠭᠤᠨᠰᠠᠩ,arigvnsaN
ариунсанаа,,ᠠᠷᠢᠭᠤᠨᠰᠠᠨᠠᠭ᠎ᠠ,arigvnsanag-a
ариунсанаат,,ᠠᠷᠢᠭᠤᠨᠰᠠᠨᠠᠭᠠᠲᠤ,arigvnsanagatv
ариунсансар,,ᠠᠷᠢᠭᠤᠨᠰᠠᠨᠰᠠᠷ,arigvnsansar
ариунсарнай,,ᠠᠷᠢᠭᠤᠨᠰᠠᠷᠠᠨᠠᠢ,arigvnsaranai
ариунсолонго,,ᠠᠷᠢᠭᠤᠨᠰᠣᠯᠣᠩᠭ᠎ᠠ,arigvnsqlqNg-a
ариунсор,,ᠠᠷᠢᠭᠤᠨᠰᠣᠷ,arigvnsqr
ариунсоёл,,ᠠᠷᠢᠭᠤᠨᠰᠣᠶᠣᠯ,arigvnsqyql
ариунсувд,,ᠠᠷᠢᠭᠤᠨᠰᠤᠪᠤᠳ,arigvnsvbvd
ариунсумъяа,,ᠠᠷᠢᠭᠤᠨᠰᠤᠮᠢᠶ᠎ᠠ,arigvnsvmiy-a
ариунсумьяа,,ᠠᠷᠢᠭᠤᠨᠰᠤᠮᠢᠶ᠎ᠠ,arigvnsvmiy-a
ариунсэлэнгэ,,ᠠᠷᠢᠭᠤᠨᠰᠡᠯᠡᠩᠭᠡ,arigvnseleNge
ариунсэтгэл,,ᠠᠷᠢᠭᠤᠨᠰᠡᠳᠬᠢᠯ,arigvnsedhil
ариунсүрэн,,ᠠᠷᠢᠭᠤᠨᠰᠦ᠋ᠷᠦᠩ,arigvnsu1ruN
ариунсүх,,ᠠᠷᠢᠭᠤᠨᠰᠦ᠋ᠬᠡ,arigvnsu1he
ариунтамир,,ᠠᠷᠢᠭᠤᠨᠲᠠᠮᠢᠷ,arigvntamir
ариунтогос,,ᠠᠷᠢᠭᠤᠨᠲᠣᠭᠣᠰ,arigvntqgqs
ариунтогтох,,ᠠᠷᠢᠭᠤᠨᠲᠣᠭᠲᠠᠬᠤ,arigvntqgtahv
ариунтулга,,ᠠᠷᠢᠭᠤᠨᠲᠤᠯᠭ᠎ᠠ,arigvntvlg-a
ариунтунгалаг,,ᠠᠷᠢᠭᠤᠨᠲᠤᠩᠭᠠᠯᠠᠭ,arigvntvNgalag
ариунтуул,,ᠠᠷᠢᠭᠤᠨᠲᠤᠤᠯᠠ,arigvntvvla
ариунтуяа,,ᠠᠷᠢᠭᠤᠨᠲᠤᠶᠠᠭ᠎ᠠ,arigvntvyag-a
ариунтэс,,ᠠᠷᠢᠭᠤᠨᠲᠡᠰ,arigvntes
ариунтүвшин,,ᠠᠷᠢᠭᠤᠨᠲᠦ᠋ᠪᠰᠢᠨ,arigvntu1bsin
ариунтүшиг,,ᠠᠷᠢᠭᠤᠨᠲᠦ᠋ᠰᠢᠭ,arigvntu1sig
ариунтөгс,,ᠠᠷᠢᠭᠤᠨᠲᠡᠭᠦᠰ,arigvntegus
ариунтөгөлдөр,,ᠠᠷᠢᠭᠤᠨᠲᠡᠭᠦᠯᠳᠡᠷ,arigvntegulder
ариунтөр,,ᠠᠷᠢᠭᠤᠨᠲᠥᠷᠦ,arigvntoru
ариунханд,,ᠠᠷᠢᠭᠤᠨᠬᠠᠩᠳᠤ,arigvnhaNdv
ариунхаш,,ᠬᠠᠷᠢᠭᠤᠨᠬᠠᠰ,harigvnhas
ариунхишиг,,ᠠᠷᠢᠭᠤᠨᠬᠡᠰᠢᠭ,arigvnhesig
ариунхишигт,,ᠠᠷᠢᠭᠤᠨᠬᠡᠰᠢᠭᠲᠦ,arigvnhesigtu
ариунхур,,ᠠᠷᠢᠭᠤᠨᠬᠤᠷ᠎ᠠ,arigvnhvr-a
ариунхэрлэн,,ᠠᠷᠢᠭᠤᠨᠬᠡᠷᠦᠯᠦᠨ,arigvnherulun
ариунхүслэн,,ᠠᠷᠢᠭᠤᠨᠬᠦᠰᠡᠯᠡᠩ,arigvnhuseleN
